spellchecker: disable
Loading repository data...
Reading installed packages...

S  | Name                                          | Summary                                                                            | Type
i  | gstreamer-plugins-bad                         | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i  | gstreamer-plugins-base                        | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i  | gstreamer-plugins-good                        | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i  | gstreamer-plugins-good-gtk                    | Gtksink plugin for gstreamer-plugins-good                                          | package
i  | gstreamer-plugins-libav                       | A ffmpeg/libav plugin for GStreamer                                                | package
i  | gstreamer-plugins-rs                          | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i  | gstreamer-plugins-ugly                        | GStreamer Streaming-Media Framework Plug-Ins                                       | package
i  | gstreamer-utils                               | Streaming-Media Framework Runtime                                                  | package
i  | gtk3-branding-openSUSE                        | The GTK+ toolkit library (version 3) -- openSUSE theme configuration               | package
i  | gtk3-data                                     | Data files for the GTK+ toolkit library v3                                         | package
i  | gtk3-immodule-amharic                         | Amharic input method for the GTK+ toolkit library v3                               | package
i  | gtk3-immodule-inuktitut                       | Inuktitut input method for the GTK+ toolkit library v3                             | package
i  | gtk3-immodule-thai                            | Thai-Lao input method for the GTK+ toolkit library v3                              | package
i  | gtk3-immodule-tigrigna                        | Tigrigna input method for the GTK+ toolkit library v3                              | package
i  | gtk3-immodule-vietnamese                      | Vietnamese input method for the GTK+ toolkit library v3                            | package
i  | gtk3-metatheme-adwaita                        | GTK+ 3 support for the Adwaita GNOME theme                                         | package
i  | gtk3-schema                                   | Config schema for the GTK+ toolkit library v3                                      | package
i  | gtk3-tools                                    | Auxiliary utilities for the GTK+ toolkit library v3                                | package
i  | gtk4-branding-openSUSE                        | The GTK+ toolkit library (version 3) -- openSUSE theme configuration               | package
i  | gtk4-schema                                   | Config schema for the GTK+ toolkit library v4                                      | package
i  | gtk4-tools                                    | Auxiliary utilities for the GTK+ toolkit library v4                                | package
i  | gupnp-av                                      | Library to ease the handling and implementation of UPnP A/V profiles               | package
i  | gupnp-dlna                                    | A collection of helpers for building DLNA applications                             | package
i  | gvfs                                          | Virtual File System functionality for GLib                                         | package
i  | gvfs-backend-goa                              | Google disk and GOA functionality for GLib                                         | package
i  | gvfs-backend-samba                            | VFS functionality for GLib -- Samba Support                                        | package
i  | gvfs-backends                                 | VFS functionality for GLib                                                         | package
i  | gvfs-fuse                                     | VFS functionality for GLib                                                         | package
i  | gvisor-tap-vsock                              | Go replacement for libslirp and VPNKit                                             | package
i  | gweather4-data                                | Auxiliary schema data for libgweather                                              | package
i  | gxditview                                     | Ditroff Output Displayer for Groff                                                 | package
i  | gzip                                          | GNU Zip Compression Utilities                                                      | package
i  | hdparm                                        | A Program to get and set hard disk parameters                                      | package
i  | hicolor-icon-theme                            | Fallback Icon Theme                                                                | package
i  | hicolor-icon-theme-branding-openSUSE          | Fallback Icon Theme -- openSUSE Icons                                              | package
i  | hostname                                      | Utility to Set/Show the Host Name or Domain Name                                   | package
i  | hwdata                                        | Hardware identification and configuration data                                     | package
i  | hwinfo                                        | Hardware Library                                                                   | package
i  | iagno                                         | Reversi Game for GNOME                                                             | package
i  | iceauth                                       | Utility to edit and display the ICE authorization information                      | package
i  | icewm                                         | Window Manager with a Taskbar                                                      | package
i  | icewm-config-upstream                         | Window Manager with a Taskbar -- Default configuration                             | package
i  | icewm-default                                 | Window Manager with a Taskbar -- Default Version                                   | package
i  | icewm-lang                                    | Translations for package icewm                                                     | package
i  | iio-sensor-proxy                              | Proxy for IIO and input subsystems                                                 | package
i  | ImageMagick                                   | Viewer and Converter for Images                                                    | package
i  | ImageMagick-config-7-SUSE                     | SUSE Provided Configuration                                                        | package
i  | imaging                                       | Graphics                                                                           | pattern
i  | imlib2-loaders                                | Imlib 2 - image loaders                                                            | package
i  | info                                          | A Stand-Alone Terminal-Based Info Browser                                          | package
i  | info-lang                                     | Translations for package info                                                      | package
i  | info-std                                      | The info pages of the Info Browser                                                 | package
i  | inotify-tools                                 | Tools for inotify                                                                  | package
i  | intlfonts-euro-bitmap-fonts                   | European fonts for the X Window System                                             | package
i  | inxi                                          | A system information script                                                        | package
i  | iproute2                                      | Linux network configuration utilities                                              | package
i  | iproute2-bash-completion                      | Bash completion for iproute                                                        | package
i  | iptables                                      | IP packet filter administration utilities                                          | package
i  | iputils                                       | IPv4 and IPv6 Networking Utilities                                                 | package
i+ | irqbalance                                    | Daemon to balance IRQs on SMP machines                                             | package
i  | irqbalance-ui                                 | UI for IRQ balance Daemon                                                          | package
i  | iso-codes                                     | ISO Code Lists and Translations                                                    | package
i  | iso_ent                                       | Character Entity Sets for ISO 8879:1986                                            | package
i  | java-21-openjdk                               | OpenJDK 21 Runtime Environment                                                     | package
i  | java-21-openjdk-headless                      | OpenJDK 21 Runtime Environment                                                     | package
i  | java-binfmt-misc                              | The binfmt_misc support for Java                                                   | package
i  | javapackages-filesystem                       | Java packages filesystem layout                                                    | package
i  | javapackages-tools                            | Macros and scripts for Java packaging support                                      | package
i  | jq                                            | A lightweight and flexible command-line JSON processor                             | package
i+ | jujutsu                                       | Git-compatible DVCS that is both simple and powerful                               | package
i  | jujutsu-bash-completion                       | Bash Completion for jujutsu                                                        | package
i  | jujutsu-fish-completion                       | Fish Completion for jujutsu                                                        | package
i  | jujutsu-zsh-completion                        | Zsh Completion for jujutsu                                                         | package
i  | kbd                                           | Keyboard and Font Utilities                                                        | package
i+ | kernel-default                                | The Standard Kernel                                                                | package
i  | kernel-firmware-all                           | Compatibility metapackage for kernel firmware files                                | package
i  | kernel-firmware-amdgpu                        | Kernel firmware files for AMDGPU graphics driver                                   | package
i  | kernel-firmware-ath10k                        | Kernel firmware files for Atheros QCA988x WiFi drivers                             | package
i  | kernel-firmware-ath11k                        | Kernel firmware files for Atheros Qualcomm WiFi drivers                            | package
i  | kernel-firmware-ath12k                        | Kernel firmware files for Atheros Qualcomm WiFi 7 chipset drivers                  | package
i  | kernel-firmware-atheros                       | Kernel firmware files for Atheros wireless drivers                                 | package
i  | kernel-firmware-bluetooth                     | Kernel firmware files for various Bluetooth drivers                                | package
i  | kernel-firmware-bnx2                          | Kernel firmware files for Broadcom network drivers                                 | package
i  | kernel-firmware-brcm                          | Kernel firmware files for Broadcom wireless drivers                                | package
i  | kernel-firmware-chelsio                       | Kernel firmware files for Chelsio network drivers                                  | package
i  | kernel-firmware-dpaa2                         | Kernel firmware files for NXP Management Complex bus driver                        | package
i  | kernel-firmware-i915                          | Kernel firmware files for Intel i915 graphics driver                               | package
i  | kernel-firmware-intel                         | Kernel firmware files for Intel-platform device drivers                            | package
i  | kernel-firmware-iwlwifi                       | Kernel firmware files for Intel wireless drivers                                   | package
i  | kernel-firmware-liquidio                      | Kernel firmware files for Cavium LiquidIO driver                                   | package
i  | kernel-firmware-marvell                       | Kernel firmware files for Marvell network drivers                                  | package
i  | kernel-firmware-media                         | Kernel firmware files for various Video4Linux drivers                              | package
i  | kernel-firmware-mediatek                      | Kernel firmware files for Mediatek network drivers                                 | package
i  | kernel-firmware-mellanox                      | Kernel firmware files for Mellanox Spectrum switch driver                          | package
i  | kernel-firmware-mwifiex                       | Kernel firmware files for Marvell WiFi fullmac drivers                             | package
i  | kernel-firmware-network                       | Kernel firmware files for various network drivers                                  | package
i  | kernel-firmware-nfp                           | Kernel firmware files for Netronome Flow Processor driver                          | package
i  | kernel-firmware-nvidia                        | Kernel firmware files for Nvidia Tegra and graphics drivers                        | package
i  | kernel-firmware-platform                      | Kernel firmware files for various platform drivers                                 | package
i  | kernel-firmware-prestera                      | Kernel firmware files for Marvell Prestera ASIC driver                             | package
i  | kernel-firmware-qcom                          | Kernel firmware files for Qualcomm device drivers                                  | package
i  | kernel-firmware-qlogic                        | Kernel firmware files for QLogic network drivers                                   | package
i  | kernel-firmware-radeon                        | Kernel firmware files for Radeon graphics driver                                   | package
i  | kernel-firmware-realtek                       | Kernel firmware files for Realtek wireless drivers                                 | package
i  | kernel-firmware-serial                        | Kernel firmware files for various serial drivers                                   | package
i  | kernel-firmware-sound                         | Kernel firmware files for various sound drivers                                    | package
i  | kernel-firmware-ti                            | Kernel firmware files for Texas Instruments wireless drivers                       | package
i  | kernel-firmware-ueagle                        | Kernel firmware files for Eagle IV USB ADSL modem driver                           | package
i  | kernel-firmware-usb-network                   | Kernel firmware files for various USB WiFi / Ethernet drivers                      | package
i+ | kexec-tools                                   | Tools for loading replacement kernels into memory                                  | package
i  | keyutils                                      | Linux Key Management Utilities                                                     | package
i  | klogd                                         | The kernel log daemon                                                              | package
i  | kmod                                          | Utilities to load modules into the kernel                                          | package
i  | kpartx                                        | Manages partition tables on device-mapper devices                                  | package
i  | krb5                                          | MIT Kerberos5 implementation                                                       | package
i  | krb5-32bit                                    | MIT Kerberos5 implementation                                                       | package
i  | lastlog2                                      | Reports most recent login of users                                                 | package
i  | lensfun-data                                  | Data files for lensfun                                                             | package
i  | less                                          | Text File Browser and Pager Similar to more                                        | package
i  | liba52-0                                      | ATSC A/52 stream decoder library                                                   | package
i  | libabsl_base2508_0_0                          | Abseil library liblibabsl_base                                                     | package
i  | libabsl_city2508_0_0                          | Abseil library liblibabsl_city                                                     | package
i  | libabsl_cord2508_0_0                          | Abseil library liblibabsl_cord                                                     | package
i  | libabsl_cord_internal2508_0_0                 | Abseil library liblibabsl_cord_internal                                            | package
i  | libabsl_cordz_functions2508_0_0               | Abseil library liblibabsl_cordz_functions                                          | package
i  | libabsl_cordz_handle2508_0_0                  | Abseil library liblibabsl_cordz_handle                                             | package
i  | libabsl_cordz_info2508_0_0                    | Abseil library liblibabsl_cordz_info                                               | package
i  | libabsl_crc32c2508_0_0                        | Abseil library liblibabsl_crc32c                                                   | package
i  | libabsl_crc_cord_state2508_0_0                | Abseil library liblibabsl_crc_cord_state                                           | package
i  | libabsl_crc_internal2508_0_0                  | Abseil library liblibabsl_crc_internal                                             | package
i  | libabsl_debugging_internal2508_0_0            | Abseil library liblibabsl_debugging_internal                                       | package
i  | libabsl_decode_rust_punycode2508_0_0          | Abseil library liblibabsl_decode_rust_punycode                                     | package
i  | libabsl_demangle_internal2508_0_0             | Abseil library liblibabsl_demangle_internal                                        | package
i  | libabsl_demangle_rust2508_0_0                 | Abseil library liblibabsl_demangle_rust                                            | package
i  | libabsl_die_if_null2508_0_0                   | Abseil library liblibabsl_die_if_null                                              | package
i  | libabsl_examine_stack2508_0_0                 | Abseil library liblibabsl_examine_stack                                            | package
i  | libabsl_exponential_biased2508_0_0            | Abseil library liblibabsl_exponential_biased                                       | package
i  | libabsl_hash2508_0_0                          | Abseil library liblibabsl_hash                                                     | package
i  | libabsl_hashtablez_sampler2508_0_0            | Abseil library liblibabsl_hashtablez_sampler                                       | package
i  | libabsl_int128-2508_0_0                       | Abseil library liblibabsl_int128                                                   | package
i  | libabsl_kernel_timeout_internal2508_0_0       | Abseil library liblibabsl_kernel_timeout_internal                                  | package
i  | libabsl_leak_check2508_0_0                    | Abseil library liblibabsl_leak_check                                               | package
i  | libabsl_log_globals2508_0_0                   | Abseil library liblibabsl_log_globals                                              | package
i  | libabsl_log_internal_check_op2508_0_0         | Abseil library liblibabsl_log_internal_check_op                                    | package
i  | libabsl_log_internal_conditions2508_0_0       | Abseil library liblibabsl_log_internal_conditions                                  | package
i  | libabsl_log_internal_format2508_0_0           | Abseil library liblibabsl_log_internal_format                                      | package
i  | libabsl_log_internal_globals2508_0_0          | Abseil library liblibabsl_log_internal_globals                                     | package
i  | libabsl_log_internal_log_sink_set2508_0_0     | Abseil library liblibabsl_log_internal_log_sink_set                                | package
i  | libabsl_log_internal_message2508_0_0          | Abseil library liblibabsl_log_internal_message                                     | package
i  | libabsl_log_internal_nullguard2508_0_0        | Abseil library liblibabsl_log_internal_nullguard                                   | package
i  | libabsl_log_internal_proto2508_0_0            | Abseil library liblibabsl_log_internal_proto                                       | package
i  | libabsl_log_internal_structured_proto2508_0_0 | Abseil library liblibabsl_log_internal_structured_proto                            | package
i  | libabsl_log_sink2508_0_0                      | Abseil library liblibabsl_log_sink                                                 | package
i  | libabsl_malloc_internal2508_0_0               | Abseil library liblibabsl_malloc_internal                                          | package
i  | libabsl_raw_hash_set2508_0_0                  | Abseil library liblibabsl_raw_hash_set                                             | package
i  | libabsl_raw_logging_internal2508_0_0          | Abseil library liblibabsl_raw_logging_internal                                     | package
i  | libabsl_spinlock_wait2508_0_0                 | Abseil library liblibabsl_spinlock_wait                                            | package
i  | libabsl_stacktrace2508_0_0                    | Abseil library liblibabsl_stacktrace                                               | package
i  | libabsl_status2508_0_0                        | Abseil library liblibabsl_status                                                   | package
i  | libabsl_statusor2508_0_0                      | Abseil library liblibabsl_statusor                                                 | package
i  | libabsl_str_format_internal2508_0_0           | Abseil library liblibabsl_str_format_internal                                      | package
i  | libabsl_strerror2508_0_0                      | Abseil library liblibabsl_strerror                                                 | package
i  | libabsl_strings2508_0_0                       | Abseil library liblibabsl_strings                                                  | package
i  | libabsl_strings_internal2508_0_0              | Abseil library liblibabsl_strings_internal                                         | package
i  | libabsl_symbolize2508_0_0                     | Abseil library liblibabsl_symbolize                                                | package
i  | libabsl_synchronization2508_0_0               | Abseil library liblibabsl_synchronization                                          | package
i  | libabsl_throw_delegate2508_0_0                | Abseil library liblibabsl_throw_delegate                                           | package
i  | libabsl_time2508_0_0                          | Abseil library liblibabsl_time                                                     | package
i  | libabsl_time_zone2508_0_0                     | Abseil library liblibabsl_time_zone                                                | package
i  | libabsl_tracing_internal2508_0_0              | Abseil library liblibabsl_tracing_internal                                         | package
i  | libabsl_utf8_for_code_point2508_0_0           | Abseil library liblibabsl_utf8_for_code_point                                      | package
i  | libabw-0_1-1                                  | Library for parsing the AbiWord file format structure                              | package
i  | libaccountsservice0                           | Client library for the user account information manipulation D-Bus service         | package
i  | libacl1                                       | A dynamic library for accessing POSIX Access Control Lists                         | package
i  | libadwaita-1-0                                | Building blocks for modern GNOME applications                                      | package
i  | libaio1                                       | Linux-Native Asynchronous I/O Access Library                                       | package
i  | libalternatives1                              | Runtime for libalternatives                                                        | package
i  | libamd3                                       | Symmetric Approximate Minimum Degree                                               | package
i  | libao-plugins4                                | Main output plugins for libao                                                      | package
i  | libao4                                        | An Audio Output Library                                                            | package
i  | libaom3                                       | AV1 codec library                                                                  | package
i  | libapparmor1                                  | Utility library for AppArmor                                                       | package
i  | libappstream-glib8                            | AppStream Abstraction Library                                                      | package
i  | libappstream5                                 | The main library for AppStream                                                     | package
i  | libarchive13                                  | Library to work with several different streaming archive formats                   | package
i  | libargon2-1                                   | The reference C implementation of Argon2                                           | package
i  | libasm1                                       | A collection of utilities and DSOs to handle compiled objects                      | package
i  | libasound2                                    | Advanced Linux Sound Architecture Library                                          | package
i  | libass9                                       | Library for SSA/ASS-formatted subtitle rendering                                   | package
i  | libassuan9                                    | IPC library used by GnuPG version 2                                                | package
i  | libatasmart-utils                             | ATA S.M.A.R.T. Disk Health Monitoring Library - Utilities                          | package
i  | libatasmart4                                  | ATA S.M.A.R.T. Disk Health Monitoring Library                                      | package
i  | libatk-1_0-0                                  | An Accessibility Toolkit                                                           | package
i  | libatk-bridge-2_0-0                           | ATK/D-Bus bridging library                                                         | package
i  | libatomic1                                    | The GNU Compiler Atomic Operations Runtime Library                                 | package
i  | libatopology2                                 | ALSA Topology Library                                                              | package
i  | libatspi0                                     | Assistive Technology Service Provider Interface                                    | package
i  | libattr1                                      | A dynamic library for filesystem extended attribute support                        | package
i  | libaudit1                                     | Library for interfacing with the kernel audit subsystem                            | package
i  | libaugeas0                                    | A library for changing configuration files                                         | package
i  | libauparse0                                   | Library for parsing and interpreting audit events                                  | package
i  | libavahi-client3                              | D-Bus Service for Zeroconf and Bonjour                                             | package
i  | libavahi-common3                              | D-Bus Service for Zeroconf and Bonjour                                             | package
i  | libavahi-core7                                | D-Bus Service for Zeroconf and Bonjour                                             | package
i  | libavahi-glib1                                | Glib Bindings for avahi, the D-Bus Service for Zeroconf and Bonjour                | package
i  | libavc1394-0                                  | Programming Interface to the AV/C Specification                                    | package
i  | libavcodec62                                  | FFmpeg codec library                                                               | package
i  | libavfilter11                                 | FFmpeg audio and video filtering library                                           | package
i  | libavformat62                                 | FFmpeg's stream format library                                                     | package
i  | libavif16                                     | Shared library from libavif                                                        | package
i  | libavtp0                                      | Audio Video Transport Protocol (AVTP) Support Library                              | package
i  | libavutil60                                   | FFmpeg's utility library                                                           | package
i  | libb2-1                                       | C library providing BLAKE2b, BLAKE2s, BLAKE2bp, BLAKE2sp                           | package
i  | libbabl-0_1-0                                 | Dynamic Pixel Format Translation Library                                           | package
i  | libbabl-0_1-0-x86-64-v3                       | Dynamic Pixel Format Translation Library                                           | package
i  | libbacktrace0                                 | Backtrace C library                                                                | package
i  | libbase                                       | JFree Base Services                                                                | package
i  | libbd_btrfs3                                  | The Btrfs plugin for the LibBlockDev library                                       | package
i  | libbd_crypto3                                 | The Crypto plugin for the LibBlockDev library                                      | package
i  | libbd_fs3                                     | The FS plugin for the LibBlockDev library                                          | package
i  | libbd_loop3                                   | The loop plugin for the LibBlockDev library                                        | package
i  | libbd_lvm3                                    | The LVM plugin for the LibBlockDev library                                         | package
i  | libbd_mdraid3                                 | The MD RAID plugin for the LibBlockDev library                                     | package
i  | libbd_nvme3                                   | The NVMe plugin for the LibBlockDev library                                        | package
i  | libbd_part3                                   | The partitioning plugin for the LibBlockDev library                                | package
i  | libbd_smart3                                  | The smart plugin for the LibBlockDev library                                       | package
i  | libbd_swap3                                   | The swap plugin for the LibBlockDev library                                        | package
i  | libbd_utils3                                  | Utility functions library for the LibBlockDev library                              | package
i  | libblkid1                                     | Filesystem detection library                                                       | package
i  | libblkid1-32bit                               | Filesystem detection library                                                       | package
i  | libblockdev                                   | A library for low-level manipulation with block devices                            | package
i  | libblockdev3                                  | A library for low-level manipulation with block devices                            | package
i  | libblogger2                                   | FIFO interface used by startproc                                                   | package
i  | libbluetooth3                                 | Bluetooth Libraries                                                                | package
i  | libbluray2                                    | Library to access Blu-Ray disk                                                     | package
i  | libboost_iostreams1_89_0                      | Boost.IOStreams Runtime Libraries                                                  | package
i  | libboost_iostreams1_89_0-x86-64-v3            | Boost.IOStreams Runtime Libraries                                                  | package
i  | libboost_locale1_89_0                         | Boost::Locale runtime library                                                      | package
i  | libboost_locale1_89_0-x86-64-v3               | Boost::Locale runtime library                                                      | package
i  | libboost_thread1_89_0                         | Boost.Thread runtime libraries                                                     | package
i  | libboost_thread1_89_0-x86-64-v3               | Boost.Thread runtime libraries                                                     | package
i  | libbox2d2                                     | A 2D Physics Engine for Games                                                      | package
i  | libbpf1                                       | C library for managing eBPF programs and maps                                      | package
i  | libbrlapi0_8                                  | Library to use BRLTTY from applications                                            | package
i  | libbrotlicommon1                              | Common Library for Brotli Compression                                              | package
i  | libbrotlicommon1-32bit                        | Common Library for Brotli Compression                                              | package
i  | libbrotlicommon1-x86-64-v3                    | Common Library for Brotli Compression                                              | package
i  | libbrotlidec1                                 | Library for Brotli Decompression                                                   | package
i  | libbrotlidec1-32bit                           | Library for Brotli Decompression                                                   | package
i  | libbrotlidec1-x86-64-v3                       | Library for Brotli Decompression                                                   | package
i  | libbrotlienc1                                 | Library for Brotli Compression                                                     | package
i  | libbrotlienc1-x86-64-v3                       | Library for Brotli Compression                                                     | package
i  | libbs2b0                                      | The Bauer stereophonic-to-binaural DSP library                                     | package
i  | libbsd0                                       | Library with functions commonly found on BSD systems                               | package
i  | libbtrfs0                                     | Library for interacting with Btrfs                                                 | package
i  | libbtrfsutil1                                 | Utility library for interacting with Btrfs                                         | package
i  | libburn4                                      | Library for Writing Preformatted Data onto Optical Media                           | package
i  | libbytesize1                                  | A library for working with sizes in bytes                                          | package
i  | libbz2-1                                      | The bzip2 runtime library                                                          | package
i  | libbz2-1-32bit                                | The bzip2 runtime library                                                          | package
i  | libbz2-1-x86-64-v3                            | The bzip2 runtime library                                                          | package
i  | libcacard0                                    | Common Access Card (CAC) emulation                                                 | package
i  | libcairo-gobject2                             | Vector Graphics Library with Cross-Device Output Support                           | package
i  | libcairo-script-interpreter2                  | Vector Graphics Library with Cross-Device Output Support                           | package
i  | libcairo2                                     | Vector Graphics Library with Cross-Device Output Support                           | package
i  | libcairomm-1_16-1                             | C++ interface for Cairo                                                            | package
i  | libcamd3                                      | Symmetric Approximate Minimum Degree                                               | package
i  | libcamel-1_2-66                               | Evolution Data Server's Messaging Library                                          | package
i  | libcamera-base0_5                             | A complex camera support library in C++                                            | package
i  | libcamera0_5                                  | A complex camera support library in C++                                            | package
i  | libcanberra-gtk-module-common                 | Portable sound event library -- Common Files for GTK+ Modules                      | package
i  | libcanberra-gtk3-0                            | Portable sound event library -- GTK+ 3 Library                                     | package
i  | libcanberra-gtk3-module                       | Portable sound event library -- GTK+ 3 Module                                      | package
i  | libcanberra0                                  | Portable sound event library                                                       | package
i  | libcap-ng0                                    | An alternate Linux/POSIX capabilities library                                      | package
i  | libcap2                                       | Library for Capabilities (linux-privs) Support                                     | package
i  | libcap2-32bit                                 | Library for Capabilities (linux-privs) Support                                     | package
i  | libcares2                                     | Library for asynchronous name resolves                                             | package
i  | libcbor0_13                                   | Library for parsing Concise Binary Object Representation (CBOR)                    | package
i  | libccolamd3                                   | Constrained Column Approximate Minimum Degree                                      | package
i  | libcdda_interface0                            | Library for Extracting, Verifying, and Fixing Audio Tracks from CDs                | package
i  | libcdda_paranoia0                             | Library for Extracting, Verifying, and Fixing Audio Tracks from CDs                | package
i  | libcdio19                                     | CD-ROM Access Library                                                              | package
i  | libcdio_cdda2                                 | CD-DA reading library                                                              | package
i  | libcdio_paranoia2                             | Error correction library for CD-DA data blocks                                     | package
i  | libcdr-0_1-1                                  | Library for parsing the Corel Draw file format structure                           | package
i  | libcdrdeflt1_0                                | Library to parse the cdrecord config file                                          | package
i  | libcdt5                                       | Container data types for Graphviz                                                  | package
i  | libcfitsio10                                  | Library for manipulating FITS data files                                           | package
i  | libcgraph6                                    | Library for graph programming                                                      | package
i  | libchafa0                                     | Shared library for chafa                                                           | package
i  | libcholmod5                                   | Supernodal Sparse Cholesky Factorization and Update/Downdate                       | package
i  | libcjson1                                     | JSON parser library written in ANSI C                                              | package
i  | libcloudproviders0                            | Library to integrate cloud storage providers                                       | package
i  | libclucene-contribs-lib1                      | Language specific text analyzers for clucene-core                                  | package
i  | libclucene-core1                              | C++ implementation of the Lucene text search engine                                | package
i  | libclucene-shared1                            | CLucene cross-platform layer                                                       | package
i  | libcmark0_31_0                                | CmmonMark parsing and rendering library                                            | package
i  | libcmis-0_6-6                                 | Library for accessing CMIS-enabled servers                                         | package
i  | libcodec2-1_2                                 | Low bit rate speech codec                                                          | package
i  | libcodec2-1_2-x86-64-v3                       | Low bit rate speech codec                                                          | package
i  | libcolamd3                                    | Column Approximate Minimum Degree                                                  | package
i  | libcolord-gtk4-1                              | System Daemon for Managing Color Devices -- GTK Integration Library                | package
i  | libcolord2                                    | Library for managing color devices                                                 | package
i  | libcolorhug2                                  | Library for managing color devices                                                 | package
i  | libcom_err2                                   | E2fsprogs error reporting library                                                  | package
i  | libcom_err2-32bit                             | E2fsprogs error reporting library                                                  | package
i  | libcomposefs1                                 | Libraries for composefs                                                            | package
i  | libconfig++15                                 | C++ API of libconfig                                                               | package
